Date,Type,Num Tokens/Size (MB),Price (€)
2024-07-10 16:58:37.601554,input,3,8.01e-05
2024-07-10 17:00:13.532359,input,3,8.01e-05
2024-07-10 17:00:50.876650,input,3,8.01e-05
2024-07-10 17:00:52.318769,output,25,0.0013349999999999998
2024-07-10 17:06:25.267866,input,3,8.01e-05
2024-07-10 17:07:11.768055,input,3,8.01e-05
2024-07-10 17:09:34.182336,input,3,8.01e-05
2024-07-10 17:11:42.650965,input,3,8.01e-05
2024-07-10 17:11:54.486538,output,90,0.0048059999999999995
2024-07-10 17:20:33.788053,input,1,2.67e-05
2024-07-10 17:20:37.761640,output,171,0.0091314
2024-07-10 17:39:26.515162,input,1,2.67e-05
2024-07-10 18:05:39.371108,input,6,0.0001602
2024-07-10 18:05:44.554361,output,233,0.012442199999999999
2024-07-10 18:08:11.595398,input,15,0.0004005
2024-07-10 18:08:15.683162,output,120,0.006408
2024-07-10 18:09:21.955567,input,8,0.0002136
2024-07-10 18:09:23.473803,output,47,0.0025098
2024-07-10 18:29:32.262138,input,6,0.0001602
2024-07-10 18:29:38.645846,output,183,0.0097722
2024-07-10 18:30:10.733242,input,15,0.0004005
2024-07-10 18:30:13.363221,output,90,0.0048059999999999995
2024-07-10 18:31:46.370203,input,6,0.0001602
2024-07-10 18:31:52.410266,output,196,0.010466399999999999
2024-07-10 18:32:05.504308,input,15,0.0004005
2024-07-10 18:32:06.780169,output,42,0.0022427999999999997
2024-07-10 19:12:42.515323,input,6,0.0001602
2024-07-10 19:12:47.348504,output,169,0.009024599999999999
2024-07-10 19:12:57.681530,input,15,0.0004005
2024-07-10 19:13:06.590153,output,223,0.011908199999999999
2024-07-10 19:13:57.686944,input,6,0.0001602
2024-07-10 19:14:03.849220,output,214,0.0114276
2024-07-10 19:14:10.216499,input,15,0.0004005
2024-07-10 19:14:12.436771,output,87,0.004645799999999999
2024-07-10 19:16:34.603778,input,6,0.0001602
2024-07-10 19:16:38.381258,output,136,0.0072624
2024-07-10 19:16:45.620827,input,15,0.0004005
2024-07-10 19:16:47.070516,output,44,0.0023496
2024-07-10 19:29:13.170881,input,6,0.0001602
2024-07-10 19:29:34.561436,input,6,0.0001602
2024-07-10 19:29:41.270135,output,163,0.008704199999999999
2024-07-10 19:29:53.139902,input,15,0.0004005
2024-07-10 19:29:57.047681,output,171,0.0091314
2024-07-10 19:53:49.820774,input,6,0.0001602
2024-07-10 19:53:55.615295,output,186,0.0099324
2024-07-11 02:20:08.416375,input,6,0.0001602
2024-07-11 02:20:11.261368,output,50,0.0026699999999999996
2024-07-11 02:20:22.455503,input,15,0.0004005
2024-07-11 02:20:26.530939,output,84,0.004485599999999999
2024-07-11 02:21:52.757798,input,8,0.0002136
2024-07-11 02:21:54.549692,output,33,0.0017621999999999998
2024-07-11 02:24:20.712747,input,6,0.0001602
2024-07-11 02:24:26.822827,output,167,0.0089178
2024-07-11 02:24:33.876502,input,15,0.0004005
2024-07-11 02:24:45.711421,output,235,0.012549
2024-07-11 02:37:24.721873,input,15,0.0004005
2024-07-11 02:37:31.792617,output,239,0.012762599999999999
